State,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total
AZ,1380.82483,9077329.02,55332768.05,30873238.44,44060559.58,97005968.97,23700.97814,236349864.1
CA,1272.039026,10311270.84,36405017.95,21915043.05,28379896.93,70625561.21,26721.65981,167779217.2
CO,1252.279955,798075.4391,25460752.31,14149810.13,14882975.73,46469881.4,29326.11633,102827060.4
CT,994.3400234,800861.2772,9855981.216,6130884.403,5974726.133,23119290.08,22457.37881,46118246.94
DC,1039.55,479717.8003,3496566.863,1616899.307,2010252.668,15195718.06,63941.94897,24599087.97
DE,1038.634615,1817627.911,10935661.24,6855707.992,7762454.673,19204844.1,16646.77809,46576295.92
FL,1159.958565,14168656.58,31946641.54,21669323.01,26832841.64,61352654.49,28566.2963,156202561.6
HI,1271.579306,20790160.22,30069222.94,24009706.52,27183280.63,74172649.3,50297.47719,176225019.6
MA,979.3870971,629193.6918,9109806.902,5364903.132,4973756.182,26668790.97,14817.7108,46894852.31
MD,1032.290114,1945623.55,11483664.36,7355643.117,7418428.941,36403006.17,25505.94935,65556459.76
NH,978.9043352,521830.17,7564672.078,4422582.269,4488593.388,22460574.35,7687.165615,39458252.25
NJ,1002.589718,1289639.057,8859519.24,6129205.003,5257819.94,27783549.5,12717.14905,49979528.5
NM,1424.857788,4186900.738,27931750.48,19671248.43,21250750.03,129098591.2,18715.73946,202139240.9
NV,1370.466042,2204720.827,40143398.14,24896132.71,28924077.33,58578018.48,20591.78547,154746347.5
NY,980.7117792,1377676.313,8972284.908,5414671.788,6065895.385,27207697.39,16549.86589,49177144.27
OR,924.0787955,6238761.294,23644489.99,12752183.89,18686293.59,40394672.49,16291.27264,102536694.8
PA,972.2045462,1992356.913,8701838.203,5678962.498,5876264.253,23098142.95,18162.9939,45518365.44
RI,995.3325049,973383.5162,12819334.26,8673151.593,8080802.874,32349153.14,7569.854826,62895825.38
SC,1107.375454,5158177.837,23795955.26,14796337.08,17064549.02,49746678.74,22447.38482,110561697.9
TX,1136.40862,10270350.19,31300405.41,17162342.28,24356905.46,68831914.46,21421.01594,152119732.8
UT,1215.565051,2023348.118,24279681.45,11388269.24,18488610.77,50303556.95,38414.43844,107488027.5
VA,1057.068645,2211914.726,15596899.59,9901910.874,10000296.28,37470324.84,35745.00987,75874261.94
VT,950.3,678899.6009,6315893.385,3821598.142,3795436.043,26967757.29,17827.96983,41579584.46
WA,883.2527745,3278655.265,19605025.18,10041435.71,15318452.72,34222436.48,20894.38854,82466005.36
