zip,LocationCode
501,NY-LI
544,NY-LI
601,PR-CC
602,PR-CC
603,PR-CC
604,PR-CC
605,PR-CC
606,PR-CC
610,PR-CC
611,PR-CC
612,PR-CC
613,PR-CC
614,PR-CC
616,PR-CC
617,PR-CC
622,PR-CC
623,PR-CC
624,PR-CC
627,PR-CC
631,PR-CC
636,PR-CC
637,PR-CC
638,PR-CC
641,PR-CC
646,PR-CC
647,PR-CC
650,PR-CC
652,PR-CC
653,PR-CC
656,PR-CC
659,PR-CC
660,PR-CC
662,PR-CC
664,PR-CC
667,PR-CC
669,PR-CC
670,PR-CC
674,PR-CC
676,PR-CC
677,PR-CC
678,PR-CC
680,PR-CC
681,PR-CC
682,PR-CC
683,PR-CC
685,PR-CC
687,PR-CC
688,PR-CC
690,PR-CC
692,PR-CC
693,PR-CC
694,PR-CC
698,PR-CC
703,PR-CC
704,PR-CC
705,PR-CC
707,PR-CC
714,PR-CC
715,PR-CC
716,PR-CC
717,PR-CC
718,PR-CC
719,PR-CC
720,PR-CC
721,PR-CC
723,PR-CC
725,PR-CC
726,PR-CC
727,PR-CC
728,PR-CC
729,PR-CC
730,PR-CC
731,PR-CC
732,PR-CC
733,PR-CC
734,PR-CC
735,PR-CC
736,PR-CC
737,PR-CC
738,PR-CC
739,PR-CC
740,PR-CC
741,PR-CC
742,PR-CC
744,PR-CC
745,PR-CC
751,PR-CC
754,PR-CC
757,PR-CC
765,PR-CC
766,PR-CC
767,PR-CC
769,PR-CC
771,PR-CC
772,PR-CC
773,PR-CC
775,PR-CC
777,PR-CC
778,PR-CC
780,PR-CC
782,PR-CC
783,PR-CC
784,PR-CC
785,PR-CC
786,PR-CC
791,PR-CC
792,PR-CC
794,PR-CC
795,PR-CC
901,PR-CC
902,PR-CC
906,PR-CC
907,PR-CC
908,PR-CC
909,PR-CC
910,PR-CC
911,PR-CC
912,PR-CC
913,PR-CC
914,PR-CC
915,PR-CC
916,PR-CC
917,PR-CC
918,PR-CC
919,PR-CC
920,PR-CC
921,PR-CC
922,PR-CC
923,PR-CC
924,PR-CC
925,PR-CC
926,PR-CC
927,PR-CC
928,PR-CC
929,PR-CC
930,PR-CC
931,PR-CC
933,PR-CC
934,PR-CC
935,PR-CC
936,PR-CC
937,PR-CC
939,PR-CC
940,PR-CC
949,PR-CC
950,PR-CC
951,PR-CC
952,PR-CC
953,PR-CC
954,PR-CC
955,PR-CC
956,PR-CC
957,PR-CC
958,PR-CC
959,PR-CC
960,PR-CC
961,PR-CC
962,PR-CC
963,PR-CC
965,PR-CC
966,PR-CC
968,PR-CC
969,PR-CC
970,PR-CC
971,PR-CC
975,PR-CC
976,PR-CC
977,PR-CC
978,PR-CC
979,PR-CC
981,PR-CC
982,PR-CC
983,PR-CC
984,PR-CC
985,PR-CC
986,PR-CC
987,PR-CC
988,PR-CC
1001,MA-MA
1002,MA-MA
1003,MA-MA
1004,MA-MA
1005,MA-MA
1007,MA-MA
1008,MA-MA
1009,MA-MA
1010,MA-MA
1011,MA-MA
1012,MA-MA
1013,MA-MA
1014,MA-MA
1020,MA-MA
1021,MA-MA
1022,MA-MA
1026,MA-MA
1027,MA-MA
1028,MA-MA
1029,MA-MA
1030,MA-MA
1031,MA-MA
1032,MA-MA
1033,MA-MA
1034,MA-MA
1035,MA-MA
1036,MA-MA
1037,MA-MA
1038,MA-MA
1039,MA-MA
1040,MA-MA
1041,MA-MA
1050,MA-MA
1053,MA-MA
1054,MA-MA
1056,MA-MA
1057,MA-MA
1059,MA-MA
1060,MA-MA
1061,MA-MA
1062,MA-MA
1063,MA-MA
1066,MA-MA
1068,MA-MA
1069,MA-MA
1070,MA-MA
1071,MA-MA
1072,MA-MA
1073,MA-MA
1074,MA-MA
1075,MA-MA
1077,MA-MA
1079,MA-MA
1080,MA-MA
1081,MA-MA
1082,MA-MA
1083,MA-MA
1084,MA-MA
1085,MA-MA
1086,MA-MA
1088,MA-MA
1089,MA-MA
1090,MA-MA
1092,MA-MA
1093,MA-MA
1094,MA-MA
1095,MA-MA
1096,MA-MA
1097,MA-MA
1098,MA-MA
1101,MA-MA
1102,MA-MA
1103,MA-MA
1104,MA-MA
1105,MA-MA
1106,MA-MA
1107,MA-MA
1108,MA-MA
1109,MA-MA
1111,MA-MA
1115,MA-MA
1116,MA-MA
1118,MA-MA
1119,MA-MA
1128,MA-MA
1129,MA-MA
1133,MA-MA
1138,MA-MA
1139,MA-MA
1144,MA-MA
1151,MA-MA
1152,MA-MA
1195,MA-MA
1199,MA-MA
1201,MA-MA
1202,NY-AM
1203,NY-AM
1220,MA-MA
1222,MA-MA
1223,MA-MA
1224,MA-MA
1225,MA-MA
1226,MA-MA
1227,NY-AM
1229,MA-MA
1230,MA-MA
1235,MA-MA
