Zip,Insolation
601,5.62
602,5.62
603,5.62
606,5.62
610,5.62
612,5.62
616,5.62
617,5.62
622,5.62
623,5.62
624,5.62
627,5.62
631,5.62
637,5.62
638,5.62
641,5.62
646,5.78
647,5.62
650,5.62
652,5.62
653,5.62
656,5.62
659,5.62
660,5.62
662,5.62
664,5.62
667,5.62
669,5.62
670,5.62
674,5.78
676,5.62
677,5.62
678,5.62
680,5.62
682,5.62
683,5.62
685,5.62
687,5.78
688,5.62
690,5.62
692,5.78
693,5.78
694,5.78
698,5.62
703,5.78
704,5.78
705,5.78
707,5.78
714,5.78
715,5.62
716,5.62
717,5.62
718,5.78
719,5.78
720,5.78
723,5.78
725,5.78
727,5.78
728,5.62
729,5.78
730,5.62
731,5.62
735,5.78
736,5.78
738,5.78
739,5.78
740,5.78
741,5.78
745,5.78
751,5.78
754,5.78
757,5.78
765,6.1
766,5.78
767,5.78
769,5.78
771,5.78
772,5.78
773,5.78
775,6.1
777,5.78
778,5.78
780,5.62
782,5.78
783,5.78
784,5.78
786,5.78
791,5.78
794,5.78
795,5.62
801,6.1
802,6.1
820,6.1
823,6.1
824,6.1
830,6.1
831,6.1
840,6.1
841,6.1
850,6.1
851,6.1
901,5.78
906,5.78
907,5.78
909,5.78
911,5.78
912,5.78
913,5.78
915,5.78
917,5.78
918,5.78
920,5.78
921,5.78
923,5.78
924,5.78
925,5.78
926,5.78
927,5.78
934,5.78
936,5.78
949,5.78
950,5.78
951,5.78
952,5.78
953,5.78
956,5.78
957,5.78
959,5.78
960,5.78
961,5.78
962,5.78
965,5.78
966,5.78
968,5.78
969,5.78
971,5.78
976,5.78
979,5.78
982,5.78
983,5.78
985,5.78
987,5.78
1001,3.67
1002,3.7
1003,3.67
1005,3.7
1007,3.7
1008,3.67
1009,3.7
1010,3.7
1011,3.67
1012,3.67
1013,3.67
1020,3.67
1022,3.67
1026,3.67
1027,3.67
1028,3.7
1029,3.67
1030,3.67
1031,3.7
1032,3.67
1033,3.67
1034,3.67
1035,3.67
1036,3.7
1037,3.7
1038,3.67
1039,3.67
1040,3.67
1050,3.67
1053,3.67
1054,3.7
1056,3.7
1057,3.7
1060,3.67
1062,3.67
1063,3.67
1066,3.67
1068,3.7
1069,3.7
1070,3.57
1071,3.67
1072,3.7
1073,3.67
1074,3.7
1075,3.67
1077,3.67
1079,3.7
1080,3.7
1081,3.7
1082,3.7
1083,3.7
1084,3.67
1085,3.67
1086,3.67
1088,3.67
1089,3.67
1092,3.7
1093,3.67
1094,3.7
1095,3.7
1096,3.67
1097,3.67
1098,3.67
1103,3.67
1104,3.67
1105,3.67
1106,3.67
1107,3.67
1108,3.67
1109,3.67
1118,3.67
1119,3.67
1128,3.7
1129,3.7
1151,3.67
1199,3.67
1201,3.67
1220,3.57
1222,3.67
1223,3.67
1224,3.57
1225,3.57
1226,3.67
1229,3.67
1230,3.67
1235,3.67
1236,3.67
1237,3.57
1238,3.67
1240,3.67
1242,3.67
1243,3.67
1244,3.67
1245,3.67
1247,3.57
1253,3.67
1254,3.67
1255,3.67
1256,3.57
1257,3.67
1258,3.67
1259,3.67
1260,3.67
1262,3.67
1264,3.67
1266,3.67
1267,3.57
1270,3.57
1301,3.57
1330,3.57
1331,3.6
1337,3.57
1338,3.57
1339,3.57
1340,3.57
1341,3.67
1342,3.57
1343,3.57
1344,3.6
1346,3.57
1347,3.57
1349,3.6
1350,3.57
1351,3.57
1354,3.57
1355,3.7
1360,3.6
1364,3.6
1366,3.7
1367,3.57
1368,3.6
1370,3.57
1373,3.67
1375,3.67
1376,3.57
1378,3.6
1379,3.6
1420,3.6
1430,3.6
1431,3.6
1432,3.6
1434,3.6
1436,3.6
1438,3.6
1440,3.6
1450,3.6
1451,3.6
1452,3.7
1453,3.6
1460,3.66
1462,3.6
1463,3.6
1464,3.6
1467,3.7
1468,3.6
1469,3.6
1473,3.6
1474,3.6
1475,3.6
1501,3.7
1503,3.7
1504,3.7
1505,3.7
1506,3.7
1507,3.7
1510,3.7
1515,3.7
1516,3.7
1518,3.7
1519,3.7
1520,3.7
1521,3.7
1522,3.7
1523,3.7
1524,3.7
1525,3.7
1527,3.7
1529,3.7
1531,3.7
1532,3.7
1534,3.7
1535,3.7
1536,3.7
1537,3.7
1540,3.7
1541,3.7
1542,3.7
1543,3.7
1545,3.7
1550,3.7
1560,3.7
1561,3.7
1562,3.7
1564,3.7
1566,3.7
1568,3.7
1569,3.7
1570,3.7
1571,3.7
1581,3.7
1583,3.7
1585,3.7
1588,3.7
1590,3.7
1602,3.7
1603,3.7
1604,3.7
1605,3.7
1606,3.7
1607,3.7
1608,3.7
1609,3.7
1610,3.7
1611,3.7
1612,3.7
1701,3.84
1702,3.84
1718,3.66
1719,3.7
1720,3.84
1721,3.84
1730,3.84
1731,3.84
1740,3.7
1741,3.66
1742,3.84
1745,3.84
1746,3.84
1747,3.7
1748,3.7
1749,3.7
1752,3.7
1754,3.84
1756,3.7
1757,3.7
1760,3.84
1770,3.84
1772,3.7
1773,3.84
1775,3.7
1776,3.84
1778,3.84
1801,3.84
1803,3.66
1810,3.66
1821,3.66
1824,3.66
1826,3.66
1827,3.66
1830,3.66
1832,3.66
1833,3.66
1834,3.66
1835,3.66
1840,3.66
1841,3.66
1843,3.66
1844,3.66
1845,3.66
1850,3.66
1851,3.66
1852,3.66
1854,3.66
1860,3.66
1862,3.66
1863,3.66
1864,3.66
1867,3.66
1876,3.66
1879,3.66
