,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,Latitude,Longitude,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,Reroof,MPU,NumStories,Status
0,JB-9723486-00,3.465,3806.009,8860.0,Pacific Northwest,OR,97206.0,45.4649,-122.60461299999999,Portland,Comp Shingle Roof,1508.0,1,11,Portland General Electric,PV Only,,0.113579,134.1167,20004.0,0.038,20400.0,0.12,0,0,,1
1,JB-9586828-00,13.86,18115.315,62233.0,Pacific Northwest,CA,95823.0,38.499654,-121.447748,Sacramento County,Comp Shingle Roof,2518.0,4,44,Sacramento Municipal Utility District,PV Only,,0.19372899999999998,1056.3469,300.0,0.028999999999999998,90.0,0.043636364000000004,0,1,One Story,1
2,JB-9586336-00,3.78,4887.0342,7464.0,Pacific Northwest,CA,95834.0,38.633184,-121.485345,Sacramento,Comp Shingle Roof,1980.0,3,12,Sacramento Municipal Utility District,PV Only,,0.152606,146.5714,998504493.0,0.028999999999999998,90.0,0.170833333,0,0,,1
3,JB-95615481-00,16.065,23229.5524,23834.0,Pacific Northwest,CA,95616.0,38.574959,-121.751502,Davis,Flat Tile,3155.0,3,51,Pacific Gas and Electric Company,PV Only,,0.33029400000000003,704.0654,10.0,0.028999999999999998,90.0,0.008823529,0,0,,1
4,JB-95615433-00,10.92,14676.4759,18131.0,Pacific Northwest,CA,95688.0,38.370609,-121.98716100000001,Vacaville,Flat Tile,6512.0,2,42,Pacific Gas and Electric Company,PV Only,,0.298678,499.3237,15.0,0.028999999999999998,90.0,0.008571429,0,0,Two Stories,1
5,JB-95615168-00,4.095,4089.573,6483.0,Pacific Northwest,CA,95602.0,39.031574,-121.071873,Nevada County,Comp Shingle Roof,,2,13,Pacific Gas and Electric Company,PV Only,,0.203558,158.0187,10.0,0.028999999999999998,90.0,0.343076923,0,0,,1
6,JB-9542846-00,6.5,8025.7797,8094.0,Pacific Northwest,CA,95404.0,38.465243,-122.68058899999998,Santa Rosa,Comp Shingle Roof,3673.0,2,25,Pacific Gas and Electric Company,PV Only,,0.18549300000000002,170.7077,46.0,0.028999999999999998,90.0,0.09304347800000001,0,1,,1
7,JB-95312502-00,8.505,12196.6609,12409.0,Pacific Northwest,CA,95337.0,37.774167,-121.24503700000001,Manteca,Flat Tile,2976.0,2,27,Pacific Gas and Electric Company,PV Only,,0.264252,321.3057,10.0,0.028999999999999998,90.0,0.0053125,0,0,,1
8,JB-9525925-00,5.035,6701.9949,8706.0,Pacific Northwest,CA,95242.0,38.138159,-121.301658,Lodi,Comp Shingle Roof,2515.0,3,19,Lodi Municipal Electric System,PV Only,,0.178033,177.2094,2601.0,0.028999999999999998,90.0,0.066842105,0,0,,1
9,JB-9518007-00,3.19,4972.2416,6270.0,Pacific Northwest,CA,95136.0,37.27036,-121.83475800000001,San Jose,Comp Shingle Roof,2672.0,1,11,Pacific Gas and Electric Company,PV Only,,0.21515,162.0934,10.0,0.028999999999999998,90.0,0.0,1,0,One Story,1
10,JB-9517772-00,6.76,9105.3562,6073.0,Pacific Northwest,CA,95127.0,37.359821000000004,-121.808586,San Jose,Round Tile,3808.0,3,26,Pacific Gas and Electric Company,PV Only,,0.22131199999999998,161.6801,10.0,0.028999999999999998,90.0,0.138461538,1,0,,1
11,JB-9508126-00,12.285,17330.057,14083.0,Pacific Northwest,CA,95023.0,36.805616,-121.394989,San Benito County,Comp Shingle Roof,5085.0,3,39,Pacific Gas and Electric Company,PV Only,,0.29732600000000003,396.2484,10.0,0.028999999999999998,90.0,0.050769231,0,0,,1
